<!DOCTYPE html>
<html>
<body>

Persona	Level 	Strength	Magic	Endurance 	Agility 	Luck	Phys	Gun	Fire	Ice 	Elec	Wind	Psy	Nuke	Bless	Curse	Arcana	Shadow	Extra Note
Archangel	14	11	9	10	12	7	-	-	-	-	Wk	-	-	-	Nu	Wk	Justice	Heavenly Punisher	
Ardha	84	54	56	55	54	40	Rs	-	-	Nu	Nu	-	-	-	-	-	Temperance	-	
Ariadne	30	23	19	20	17	18	-	Rs	-	-	-	-	Wk	Nu	Rs	-	Fortune	-	Paid DLC
Ariadne Picaro	42	36	23	29	24	21	-	Rs	-	-	-	-	Wk	Nu	Rs	-	Fortune	-	Paid DLC
Arsène	1	2	2	2	3	1	-	-	-	Wk	-	-	-	-	Wk	Rs	Fool	-	Joker's Initial Persona
Astarte	Inherit	Inherit	Inherit	Inherit	Inherit	Inherit	-	-	-	-	-	-	Nu	Wk	-	-	Empress	-	Haru's Second Tier Persona
Asterius	56	43	43	32	32	25	-	-	Rs	Wk	-	-	Rs	-	-	Nu	Fortune	-	Paid DLC
Asterius Picaro	62	46	46	36	36	29	-	-	Rs	Wk	-	-	Rs	-	-	Nu	Fortune	-	Paid DLC
Asura	76	52	48	51	49	35	-	-	Nu	-	-	-	Wk	Rp	-	-	Sun	-	Strongest Persona of the Sun Arcana
Atavaka	65	51	36	43	38	34	Rs	Nu	Rp	-	-	-	-	-	-	Rs	Faith	Infuriated Wisdom King	
Athena	46	33	27	29	29	27	Rs	Nu	-	-	Wk	-	-	-	-	-	Chariot	-	Paid DLC
Athena Picaro	50	35	30	31	32	29	Rs	Nu	-	-	Wk	-	-	-	-	-	Chariot	-	Paid DLC
Atropos	39	23	30	22	27	22	-	-	Wk	-	-	Nu	-	-	-	-	Fortune	-	
Attis	82	49	50	48	54	52	-	-	Nu	-	-	Rp	-	-	-	Wk	Hanged Man Man	-	Strongest Persona of the Hanged Man Man Arcana
Azathoth	???	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Councillor	-	Maruki's Initial Persona
Baal	82	54	58	53	47	41	-	-	Rs	-	-	Dr	-	-	Rs	-	Emperor	Reviled Dictator	
Baphomet	58	34	42	36	38	31	-	-	Rs	-	-	-	-	-	Wk	Nu	Devil	Heretic Goat	
Barong	52	33	35	33	37	25	-	Rs	-	-	Rs	Wk	-	-	Nu	Wk	Emperor	Dancing Lion	
Beelzebub 	87	55	61	54	56	42	-	-	Dr	-	-	-	-	-	Wk	Rp	Devil	Fly of the Dead	Strongest Persona of the Devil Arcana
Belial	82	52	53	51	48	49	Nu	-	-	Rs	-	-	-	-	-	Nu	Devil	Missionary of Depravity	
Belphegor	37	25	27	24	23	19	-	-	Wk	Rs	Rs	-	-	Rs	-	Rp	Tower	Ambassador of Filth	
Berith	9	9	6	8	8	3	-	Nu	Rs	Wk	-	-	-	-	-	-	Hierophant	Brutal Cavalryman	
Bicorn	4	5	3	3	5	3	-	-	-	-	Wk	-	-	-	-	Rs	Hermit	Dirty Two-Horned Beast	
Bishamonten	67	51	37	42	44	34	-	-	Dr	Wk	-	-	-	-	Rs	Rs	Hierophant	-	
Black Frost	67	44	46	41	42	35	-	-	Rp	Dr	-	-	-	Nu	-	Rp	Fool	Evil Snowman	
Black Ooze	18	15	7	16	8	15	Rs	Rs	-	Rs	Wk	-	Wk	-	Wk	Nu	Moon	Pulsing Mud	
Black Rider	59	36	42	34	42	30	-	-	Wk	Dr	-	-	-	-	Rs	Rs	Tower	-	
Bugs	49	35	33	30	32	24	-	-	-	-	-	-	Rs	Wk	-	Nu	Fool	Killer Teddy Bear	
Byakhee	70	42	49	43	51	32	-	-	Nu	Wk	-	Nu	-	Wk	-	Nu	Moon	Evil Synthetic Organism	
Byakko	45	35	28	30	32	17	-	-	Wk	Dr	-	-	-	Wk	-	Rs	Temperance	-	
Cait Sith	5	6	4	4	5	3	-	-	-	-	Rs	Wk	-	-	-	-	Magician	Hunting Puss in Boots	
Captain Kidd	4	5	3	5	3	3	-	-	-	-	Rs	Wk	-	-	-	-	Chariot	-	Ryuji's Initial Persona
Carmen	5	3	6	4	4	5	-	-	Rs	Wk	-	-	-	-	-	-	Lovers	-	Ann's Initial Persona
Célestine	Inherit	Inherit	Inherit	Inherit	Inherit	Inherit	-	-	Nu	Wk	Rs	-	-	-	-	-	Lovers	-	Ann's Third Tier Persona
Cendrillon	43	32	27	21	30	26	-	-	-	-	-	-	-	-	Nu	Wk	Faith	-	Sumire's Initial Persona
Cerberus	55	39	35	32	39	27	-	-	Dr	Wk	-	-	-	Rs	-	-	Chariot	Guard Dog of Hades	
Chernobog	55	40	37	39	38	39	-	Rs	Wk	Dr	Nu	-	-	-	Wk	Dr	Death	The Black Avenger	
Chi You	62	56	57	54	53	51	Rs	Rs	-	-	-	-	Nu	Wk	-	-	Chariot	-	Strongest Persona of the Chariot Arcana
Chimera	88	51	40	42	48	48	-	-	Dr	Nu	-	Wk	-	-	-	Wk	Strength	Deformed Lion God	
Choronzon	74	16	19	19	18	19	Rs	-	Dr	-	-	-	-	-	Wk	-	Magician	Gathering Devil	
Clotho	28	14	19	18	20	17	-	-	-	Wk	-	Nu	-	Wk	-	-	Fortune	-	
Crystal Skull	27	50	50	50	50	50	Rs	Rs	-	-	-	Wk	-	-	-	-	Fool	Crystal Skull	Treasure Demon
Cu Chulainn	50	55	44	46	48	42	Rs	Rs	-	-	Wk	Rp	-	-	Nu	-	Faith	Spear-Wielding General	
Cybele	76	44	57	49	51	55	-	-	Rs	-	Wk	-	-	-	Nu	-	Priestess	Bloody Goddess	Strongest Persona of the Priestess Arcana
Daisoujou	83	21	33	24	24	25	Rs	-	-	-	-	-	-	-	Nu	Wk	Hierophant	-	
Dakini	40	34	32	34	28	29	-	Nu	Rs	-	-	-	-	-	-	-	Empress	Blood Thirsty Demoness	
Decarabia	50	21	23	19	22	18	Wk	-	Rp	-	-	-	-	Rs	-	Rs	Councillor	Vicious Pentagram 	
Diego	Inherit	Inherit	Inherit	Inherit	Inherit	Inherit	-	-	-	-	Wk	Nu	-	-	Rs	-	Magician	-	Morgana's Third Tier Persona
Dionysus	32	42	48	44	42	44	-	-	-	-	Rp	-	-	-	Nu	Nu	Councillor	Hedonistic Braggart	
Dominion	71	42	45	43	44	37	-	-	-	-	Wk	-	-	Rp	Nu	Rs	Justice	Merciless Inquisitor	
Eligor	68	12	10	13	10	10	-	-	Rs	-	Wk	-	-	-	-	Rs	Emperor	War-Hungry Horseman	
Ella	Inherit	Inherit	Inherit	Inherit	Inherit	Inherit	-	-	-	-	-	-	-	Rs	Nu	Wk	Faith	-	Sumire's Third Tier Persona
Emperor's Amulet	35	61	55	58	48	43	Rp	Rp	Dr	-	Rs	-	-	Dr	-	-	Hanged Man Man	Emperor's Amulet	Treasure Demon
Fafnir	86	15	11	13	14	11	-	-	Nu	Wk	-	Rs	-	Rs	-	-	Hermit	Evil Voracious Dragon	
Flauros	19	41	39	40	42	34	-	-	-	Dr	Wk	-	Nu	-	-	-	Devil	-	
Forneus	63	23	32	29	34	27	-	-	Nu	-	Wk	Nu	-	-	-	-	Magician	Rhetorician of the Sea	
Fortuna	46	60	58	55	52	40	Rs	-	-	-	-	-	-	Wk	-	-	Fortune	-	
Futsunushi	86	14	17	16	15	14	-	Rs	-	-	Wk	Dr	-	-	-	-	Magician	-	Strongest Persona of the Magician Arcana
Fuu-Ki	23	43	51	48	54	42	-	-	-	-	-	-	Nu	-	Dr	-	Star	Tornado Devil	
Gabriel	77	39	31	37	33	26	Rs	Rs	-	-	-	Dr	Wk	-	-	-	Temperance	Declarer of Anguish	
Ganesha	53	30	36	29	39	29	-	-	-	-	-	Rs	-	-	Rp	-	Sun	Auspicious Pachyderm 	
Garuda	52	5	6	7	6	4	-	-	-	Nu	Wk	-	Rs	-	-	-	Star	Raging Bird God	
Genbu	7	32	24	32	29	19	Rp	Rp	Rs	-	-	-	-	-	Wk	Nu	Temperance	-	
Girimehkala	43	32	24	32	29	19	Rp	Rp	Rs	-	-	-	-	-	Wk	Nu	Moon	Rebellious Elephant 	
Goemon	15	13	10	11	10	8	-	-	Wk	Rs	-	-	-	-	-	-	Emperor	-	Yusuke's Initial Persona
Gorokichi	Inherit	Inherit	Inherit	Inherit	Inherit	Inherit	-	-	Wk	Nu	-	Rs	-	-	-	-	Emperor	-	Yusuke's Third Tier Persona
Hanuman	64	43	38	40	40	38	-	Rs	-	Wk	-	-	Rs	-	Rs	-	Strength	Nimble Monkey King	
Hariti	40	21	32	24	23	27	-	-	-	-	-	Wk	Rs	-	Rs	-	Empress	-	
Hastur	84	51	59	52	56	41	-	-	Rs	-	-	Dr	Nu	-	-	Nu	Star	Warped Abyss	
Hecate	Inherit	Inherit	Inherit	Inherit	Inherit	Inherit	-	-	Nu	Wk	-	-	-	-	-	-	Lovers	-	Ann's Second Tier Persona
Hecatoncheires	42	35	22	27	23	26	-	Rs	-	-	-	-	-	-	Wk	Nu	Hanged Man Man	-	
Hell Biker	37	23	24	24	30	17	-	-	Rp	-	-	Rs	-	-	Wk	-	Death	-	
Hereward	Inherit	Inherit	Inherit	Inherit	Inherit	Inherit	-	-	-	-	-	-	Rs	-	Wk	Nu	Justice	-	Akechi's Third Tier Persona
High Pixie	16	8	14	10	13	10	-	Wk	-	-	Rs	Rs	-	Wk	-	-	Fool	Prankster Leader	
Hope Diamond	40	40	40	40	40	40	Rs	Rs	-	Wk	-	-	-	-	-	-	Death	Hope Diamond	Treasure Demon
Horus	47	30	32	29	35	22	-	-	Wk	-	Nu	-	-	-	Rp	-	Sun	-	
Hua-Po	9	4	10	4	8	8	-	Wk	Rp	Wk	-	-	-	-	-	-	Hanged Man Man	Girl of the Hangin Tree	
Incubus	5	4	6	4	5	3	-	-	Wk	-	Rs	-	-	-	Wk	-	Devil	Bedside Brute	
Inugami	14	11	9	9	12	8	-	Nu	Nu	-	-	Wk	-	-	-	Nu	Hanged Man Man	Possesive Dog Ghost	
Ippon-Datara	13	11	7	14	6	8	-	Rs	Rs	Wk	-	Rp	-	-	Rs	Rs	Hermit	Embittered Blacksmith	
Ishtar	85	48	59	49	58	48	-	-	-	-	Nu	Wk	-	-	-	-	Lovers	-	Strongest Persona of the Lovers Arcana
Isis	26	14	20	17	18	16	-	-	-	-	-	-	Wk	-	Nu	-	Priestess	She of Life and Death	
Izanagi	20	14	13	13	14	13	-	-	-	-	Rs	Wk	-	-	-	Nu	Fool	-	Paid DLC
Izanagi Picaro	23	16	15	15	16	14	-	-	-	-	Nu	Wk	-	-	-	Nu	Fool	-	Paid DLC
Izanagi-no-Okami	80	52	56	46	48	45	Rs	Rs	Rs	Rs	Rs	Rs	Rs	Rs	-	-	World	-	Paid DLC
Izanagi-no-Okami Picaro	89	54	61	56	58	45	Rs	Rs	Rs	Rs	Rs	Rs	Rs	Rs	-	-	World	-	Paid DLC
Jack 'o' Lantern	2	2	3	3	3	2	-	-	Dr	Wk	-	Wk	-	-	-	-	Magician	Crypt Dwelling Pyromaniac	
Jack Frost	11	8	9	7	9	7	-	-	Wk	Nu	-	-	-	-	-	-	Magician	Mocking Snowman	
Jatayu	51	31	34	29	36	30	-	-	-	Rs	-	Rp	-	Wk	Rs	-	Hanged Man	Arrogant Vulture	
Jikokuten	22	18	11	16	15	13	Rs	-	-	-	-	-	-	-	Rs	Wk	Temperance	-	
Johanna	21	15	15	14	15	11	-	-	-	-	-	-	Wk	Rs	-	-	Priestess	-	Makoto's Initial Persona
Kaguya	16	11	15	12	11	6	-	-	Wk	-	-	Rs	-	-	Nu	Nu	Moon	-	Paid DLC
Kaguya Picaro	25	17	20	19	15	11	-	-	Wk	-	-	-	-	-	Nu	Nu	Moon	-	Paid DLC
Kaiwan	36	23	26	24	22	20	-	Nu	-	-	-	-	Nu	Wk	-	-	Star	Wishless Star 	
Kali	40	43	41	39	39	34	-	Rp	Nu	-	-	-	Rp	-	-	Rs	Empress	The Blackened Fury	
Kelpie	25	5	5	5	6	4	-	-	-	Rs	Wk	-	-	-	-	-	Strength	Mad Marsh Horse	
Kikuri-Hime	61	22	31	24	28	22	-	-	Wk	-	-	Nu	-	-	Rs	-	Priestess	Mountain Girl	
Kin-Ki	11	21	13	21	15	12	Rs	Rp	-	-	-	-	-	-	-	-	Chariot	Samurai Killer	
King Frost	25	40	44	43	29	34	-	-	-	Dr	-	-	-	-	Nu	-	Emperor	Monarch of Snow	
Kodama	76	7	11	8	10	4	-	-	Wk	Rs	-	-	-	-	-	-	Star	Wavering Tree Spirit	
Koh-i-Noor	11	25	25	25	25	25	Rs	Wk	-	-	-	-	-	-	-	-	Priestess	Koh-i-Noor	Treasure Demon
Kohryu	9	43	51	50	53	38	-	-	-	-	Rp	-	Nu	Wk	Nu	-	Hierophant	-	
Koppa Tengu	49	7	8	8	11	6	-	-	-	Wk	-	Rs	-	-	Wk	-	Temperance	Foolish Monk	
Koropokkuru	42	5	8	6	9	6	-	-	Wk	Rs	-	Rs	-	-	-	-	Hermit	Leafy Old Man	
Koumokuten	31	37	29	34	29	25	Rs	-	-	Wk	-	-	-	-	Rs	-	Hermit	-	
Kumbhanda	12	25	30	25	27	26	-	-	Nu	-	-	-	Wk	-	-	Rs	Hermit	Life-Draining Spirit	
Kurama Tengu	42	20	19	21	24	16	-	-	-	Nu	-	Rp	-	-	Rs	Rs	Hermit	Monk of the Valley	
Kushi Mitama	35	7	11	9	8	8	-	-	Wk	-	-	Rs	-	-	-	-	Councillor	-	
Kushinada	69	24	30	26	28	25	-	-	-	Wk	-	-	-	Wk	Rp	-	Lovers	Lamenting Sacrifice	
Lachesis	26	18	26	22	25	21	-	-	-	Nu	Wk	Rs	-	-	-	-	Fortune	-	
Lakshmi	19	39	49	41	47	38	-	-	Wk	Rs	-	-	-	-	Rs	-	Fortune	-	Strongest Persona of the Fortune Arcana
Lamia	38	21	15	18	19	12	-	-	-	Wk	Rs	-	-	Wk	-	Nu	Empress	Slithering Snakewoman	
Leanan Sidhe	32	9	17	12	16	10	-	-	Wk	-	-	Rs	Rs	-	-	-	Lovers	Jealous Lover	
Legion	60	24	24	30	23	20	Rs	-	Rs	-	-	-	Rs	-	Wk	Nu	Fool	Fused Ghost	
Lilim	70	17	23	18	25	20	-	-	-	Rs	-	Wk	-	-	Wk	Nu	Devil	Woman who brings Ruin	
Lilith	93	33	43	37	39	35	-	-	Wk	Rp	-	-	-	Rp	-	Nu	Moon	Harlot of Desire	
Loa	73	42	47	43	46	39	-	-	Rs	-	Nu	-	Wk	Rs	Wk	-	Hermit	-	
Loki	75	53	47	46	47	39	-	-	-	-	-	-	-	-	Wk	Nu	Justice	-	Akechi's "Second Tier" Persona
Lucifer	93	61	59	59	56	51	Nu	Nu	Rs	Rs	Rs	Rs	-	-	Wk	Dr	Star	-	Strongest Persona of the Star Arcana
Lucy	Inherit	Inherit	Inherit	Inherit	Inherit	Inherit	-	-	-	Rs	-	-	Nu	Wk	-	-	Empress	-	Haru's Third Tier Persona
Macabre	73	48	49	42	48	39	-	-	-	-	Rs	-	-	-	Wk	Nu	Hanged Man	Dancer of Death	
Mada	90	55	54	61	59	48	-	-	Dr	Wk	-	-	Rs	Nu	-	-	Tower	-	
Magatsu-Izanagi	44	37	35	32	25	10	-	Rs	-	-	-	-	-	Wk	Nu	Nu	Tower	-	Paid DLC
Magatsu-Izanagi Picaro	48	40	38	35	27	11	-	Rs	-	-	-	-	-	Wk	Nu	Nu	Tower	-	Paid DLC
Makami	15	13	12	8	11	8	-	Nu	-	-	Wk	Rs	-	Rs	Nu	-	Temperance	Hunting Wolf Spirit	
Mandrake	3	2	3	3	4	4	-	-	Wk	-	Rs	-	-	-	-	-	Death	Gallow's Flower	
Mara	73	51	43	43	45	44	-	Nu	Dr	-	-	-	Rp	-	Rs	Nu	Tower	Throbbing King of Desire	
Maria	93	52	66	53	54	61	-	-	Wk	-	Rs	Nu	-	-	Dr	-	Faith	-	Strongest Persona of the Faith Arcana
Matador	17	11	13	10	16	8	-	-	-	-	Wk	Nu	-	-	-	-	Death	-	
Melchizedek	58	37	32	40	39	33	-	-	-	-	-	Wk	Rs	-	Dr	Nu	Justice	Pagan Savior	
Mercurius	Inherit	Inherit	Inherit	Inherit	Inherit	Inherit	-	-	-	-	Wk	Nu	-	-	-	-	Magician	-	Morgana's Second Tier Persona
Messiah	81	50	50	50	50	50	-	-	Rs	Rs	Rs	Rs	Rs	Rs	Rp	Wk	Judgement	-	Paid DLC
Messiah Picaro	90	56	56	55	55	55	-	-	Rs	Rs	Rs	Rs	Rs	Rs	Rp	Wk	Judgement	-	Paid DLC
Metatron	89	54	61	60	57	42	-	-	-	-	Wk	Rp	Dr	Dr	-	Wk	Justice	Shadow of God	Strongest Persona of the Justice Confidant
Michael	87	57	54	55	56	46	-	Rs	-	-	-	-	-	-	Rp	Nu	Judgement	Apocalyptic Guide	
Milady	36	27	24	22	22	21	-	-	-	-	-	-	Rs	Wk	-	-	Empress	-	Haru's Initial Persona
Mishaguji	52	32	32	32	32	35	Rs	-	-	Wk	Nu	-	-	-	-	Dr	Hierophant	-	
Mithras	33	32	32	32	32	35	Rs	-	-	Wk	Nu	-	-	-	-	Dr	Sun	Dark Sun	
Mitra	33	55	54	48	50	55	-	-	-	-	Rp	-	-	-	Wk	Nu	Temperance	-	
Mokoi	9	27	25	27	25	20	Rs	Rs	Dr	-	-	-	Wk	Nu	-	-	Sun	Night-Walking Warrior	
Moloch	60	9	5	6	10	4	-	-	-	-	Rs	Wk	-	-	-	-	Hanged Man	Sacrificial Pyrekeeper	
Mot	72	32	45	42	31	37	-	-	Dr	Wk	Rs	Rs	Dr	-	-	Nu	Death	Coffin-borne God	
Mother Harlot	85	43	51	48	42	39	-	Rs	-	-	Dr	Wk	-	-	-	Rp	Empress	-	Strongest Persona of the Empress Arcana
Mothman	30	21	24	16	24	21	-	Wk	-	-	Nu	-	Rs	-	-	-	Moon	Vampire Moth	
Naga	24	15	17	15	17	15	-	Rs	-	-	Nu	Wk	-	-	-	-	Hermit	Cavern Snakeman	
Narcisuss	48	27	31	29	33	31	-	-	Wk	-	Nu	Rs	-	-	Rs	-	Lovers	Self-Infatuated Star	
Nebiros	74	45	52	44	46	42	-	-	-	-	-	-	Nu	-	Wk	Rs	Devil	Wandering Reviver	
Necronomicon	31	17	23	20	21	35	-	-	-	-	-	-	-	-	-	-	Hermit	-	Futaba's Initial Persona
Neko Shogun	30	19	20	19	21	18	Rs	-	-	-	Rs	Wk	-	-	Nu	Rs	Star	-	
Nekomata	17	13	10	12	15	8	-	-	-	-	Wk	-	Rs	-	-	-	Magician	Ascended Feline	
Nigi Mitama	22	13	15	15	16	14	-	-	-	-	Wk	-	-	-	Rs	Rs	Councillor	-	
Norn	52	30	38	33	34	28	-	-	-	-	Rp	Dr	-	-	Rs	-	Fortune	Final Assessor	
Nue	20	16	10	17	14	10	-	-	Wk	Rs	-	-	-	-	-	Nu	Death	Night Chimera	
Obariyon	8	7	3	9	8	4	Rs	-	-	-	Wk	-	-	-	-	-	Fool	Piggyback Demon	
Oberon	66	40	45	42	43	35	-	-	-	-	Rs	-	Nu	Wk	-	-	Strength	Unfaithful Dream-King	
Odin	84	53	58	54	52	42	-	-	-	-	Nu	Dr	-	-	Rp	Rp	Emperor	Hero-Gathering Tyrant	Strongest Persona of the Emperor Arcana
Okuninushi	54	39	35	33	32	30	-	-	-	-	Rp	Wk	Nu	Wk	-	-	Emperor	-	
Ongyo-Ki	89	56	53	57	59	49	Rs	-	-	-	-	-	-	-	Rp	Rp	Hermit	Shadowy Ninja	Strongest Persona of the Hermit Arcana
Oni	20	19	9	17	12	10	Rs	Rs	-	-	-	-	-	-	-	-	Strength	Chivalrous Fiend	
Onmoraki	12	9	12	7	10	5	-	-	Rs	Wk	-	-	-	-	Wk	Nu	Moon	Corpse Bird	
Orichalcum	60	60	60	60	60	60	Rs	Rs	-	-	-	-	-	-	Wk	-	Faith	Orichalcum	Treasure Demon
Orlov	30	30	30	30	30	30	Rs	Rs	-	-	-	-	-	-	-	Wk	Strength	Orlov	Treasure Demon
Orpheus	17	11	14	15	12	6	-	-	-	Wk	-	Rs	-	-	-	Rs	Fool	-	Paid DLC
Orpheus F	26	17	17	17	17	17	-	-	-	-	Wk	-	-	-	Rs	Wk	Fool	-	Paid DLC
Orpheus F Picaro	11	8	9	8	9	6	-	-	-	-	Wk	-	-	-	Rs	Wk	Fool	-	Paid DLC
Orpheus Picaro	13	9	11	9	10	7	-	-	-	-	Wk	-	-	-	Rs	Wk	Fool	-	Paid DLC
Orthrus	29	19	19	19	19	18	-	-	-	-	Wk	-	-	-	Rs	Wk	Hanged Man	Twin-Headed Guardian	
Ose	21	16	14	14	19	7	-	-	Dr	Wk	-	-	-	Rs	-	-	Fool	Cruel Leopard 	
Pale Rider	42	32	24	25	31	21	-	Nu	Rs	-	-	-	-	-	Wk	Nu	Death	-	
Parvati	54	32	37	33	40	27	-	-	-	-	-	Rs	-	-	Wk	Rp	Lovers	Destructive Beauty	
Pazuzu	45	29	33	27	26	27	-	-	-	-	-	Rs	-	-	Wk	Nu	Devil	-	
Phoenix	21	12	15	15	17	11	-	-	-	Rs	Wk	Nu	-	-	-	-	Faith	-	
Pisaca	28	19	21	21	16	14	-	-	Wk	-	Rs	-	-	-	Wk	Nu	Death	Corpse-eating Corpse	
Pixie	2	1	3	3	4	2	-	Wk	-	Wk	Rs	-	-	-	Rs	Wk	Lovers	Beguilling Girl	
Power	41	30	26	28	25	21	-	Wk	-	-	-	Rs	-	-	Nu	Wk	Justice	Divine Warrior	
Principality	29	15	15	15	15	15	Rs	Rs	-	-	-	-	Wk	-	-	-	Justice	-	
Prometheus	Inherit	Inherit	Inherit	Inherit	Inherit	Inherit	-	-	-	-	-	-	-	-	-	-	Hermit	-	Futaba's Second Tier Persona
Queen Mab	43	23	35	26	30	22	-	-	Nu	-	Rs	Wk	-	-	-	-	Magician	Midnight Queen	
Queen's Necklace	15	41	46	41	43	34	-	-	Nu	-	-	Rs	Wk	-	-	-	Empress	Queen's Necklace	Treasure Demon
Quetzalcoatl	56	33	39	33	39	31	-	-	-	Rp	-	-	Rs	-	Rs	Wk	Sun	-	
Raja Naga	55	20	15	18	17	9	Rs	Nu	Rs	-	-	Wk	-	-	Wk	Rs	Temperance	Snake King	
Rakshasa	24	28	34	30	33	26	Rp	Rp	Nu	-	Wk	-	-	-	Wk	Nu	Strength	Battle Fiend	
Rangda	48	47	49	43	54	42	-	-	-	-	-	-	-	-	Wk	Nu	Magician	Dancing Witch	
Raoul	76	47	49	43	54	42	-	-	-	-			-	-	Wk	Rs	Fool	-	Joker's Third Tier Persona
Raphael	78	57	45	49	55	35	-	-	-	Dr	-	-	Nu	-	Nu	-	Lovers	Cleanser of Heaven	
Red Rider	41	26	27	25	29	23	-	-	-	-	-	-	-	-	Wk	Nu	Tower	-	
Regent	10	10	10	10	10	10	Rs	Rs	-	-	-	-	-	Wk	-	-	Emperor	Regent	Treasure Demon
Robin Hood	45	32	29	28	29	24	-	-	-	-	-	-	-	-	Rs	Wk	Justice	-	Akechi's "Initial" Persona
Saki Mitama	6	4	6	5	6	4	-	-	-	Rs	-	Wk	-	-	-	-	Lovers	-	
Sandalphon	75	46	51	49	48	38	Rs	Rs	-	-	-	-	-	-	Rp	Nu	Moon	Prison Master	Strongest Persona of the Moon Arcana
Sandman	23	11	13	14	17	21	-	-	Wk	-	Wk	Rs	-	-	-	-	Magician	Envoy of Slumber	
Sarasvati	50	30	35	32	33	27	-	-	-	Nu	Rs	-	-	Wk	-	-	Priestess	Strumming Veena Player	
Satan	92	62	59	55	52	55	-	Rs	-	Rp	-	-	-	-	-	Rp	Judgement	-	Strongest Persona of the Judgement Arcana
Satanael	95	63	60	57	56	56	Rs	Rs	Rs	Rs	Rs	Rs	Rs	Rs	Nu	Dr	Fool	-	Joker's Second Tier Persona
Scathach	77	48	52	46	48	44	-	-	-	Nu	Rp	-	-	-	-	Nu	Priestess	The Shadowed One	
Seiryu	62	38	41	43	37	34	-	-	-	Rs	-	-	-	Wk	-	-	Councillor	-	
Seiten Taisei	Inherit	Inherit	Inherit	Inherit	Inherit	Inherit	-	-	-	-	Nu	Wk	-	-	-	-	Chariot	-	Ryuji's Second Tier Persona
Setanta	25	19	16	18	13	16	-	Rs	-	-	-	-	Wk	Rs	-	-	Emperor	-	
Seth	51	32	35	30	35	28	-	-	Rp	-	-	Nu	-	-	Wk	Rs	Tower	-	
Shiisaa	95	10	11	11	11	9	Rs	-	-	-	-	-	Wk	-	Nu	Wk	Strength	Rooftop Lion	
Shiki-Ouji	18	16	14	12	9	10	Nu	Nu	-	-	-	-	-	Wk	Nu	Nu	Chariot	Bringer of Misfortune	
Shiva	82	55	54	53	53	38	-	-	-	Nu	Rp	-	Dr	Wk	Nu	Nu	Judgement	-	
Siegfried	84	61	43	55	55	45	Nu	Rs	-	Rs	Nu	-	-	Wk	-	-	Faith	Dragon-slaying Genius	
Silky	6	4	7	4	5	5	-	-	Wk	Rs	Wk	-	-	-	-	-	Priestess	Troublesome Maid	
Skadi	53	33	39	32	34	28	-	-	-	Rp	-	-	-	-	-	Nu	Priestess	Quaking Lady of Shadow	
Slime	10	9	6	11	6	5	Rs	Rs	Wk	-	-	Wk	-	-	-	-	Chariot	Viscid Rotting Meat	
Sraosha	80	47	56	45	56	43	-	-	-	-	Dr	-	-	-	Rp	Wk	Star	-	
